date,measure,value
2015-12-01,m2_deposit_fixed,742794.0689330001
2016-01-01,m3_deposit_other,9496.312397999922
2016-01-01,m2_total,1587778.9943163
2016-01-01,m2_nid,10760.636057
2016-01-01,m2_deposit_saving,136539.890149
2016-01-01,m1_total,363454.2701183
2016-01-01,m2_repo,0.0
2016-01-01,m1_currency,81816.4368733
2016-01-01,m1_deposit_demand,281637.833245
2016-01-01,m2_deposit_fx,137183.29384000003
2016-01-01,m2_deposit_other,204170.216263
2016-01-01,m3_total,1597275.3067142998
2016-01-01,m2_deposit_fixed,735670.6878889999
2016-02-01,m1_deposit_demand,286449.82813
2016-02-01,m1_total,366985.32896221
2016-02-01,m2_repo,0.0
2016-02-01,m2_nid,9501.434236
2016-02-01,m2_total,1603038.2058602101
2016-02-01,m3_total,1612464.26174521
2016-02-01,m2_deposit_fx,139427.678311
2016-02-01,m2_deposit_other,203154.17580700002
2016-02-01,m2_deposit_saving,139022.148403
2016-02-01,m1_currency,80535.50083221002
2016-02-01,m2_deposit_fixed,744947.4401410001
2016-02-01,m3_deposit_other,9426.055884999922
2016-03-01,m3_deposit_other,8935.740272999974
2016-03-01,m2_repo,0.006822
2016-03-01,m2_deposit_saving,138981.586273
2016-03-01,m1_currency,78915.76171439
2016-03-01,m2_deposit_fx,136454.915225
2016-03-01,m2_deposit_other,213727.53619800002
2016-03-01,m2_deposit_fixed,751548.470057
2016-03-01,m3_total,1613189.9577113898
2016-03-01,m2_total,1604254.2174383898
2016-03-01,m2_nid,9354.656859
2016-03-01,m1_deposit_demand,275271.2842899999
2016-03-01,m1_total,354187.04600438994
2016-04-01,m3_deposit_other,9476.223887999775
2016-04-01,m1_currency,80001.67628975
2016-04-01,m2_total,1601667.16179175
2016-04-01,m2_deposit_saving,139180.576636
2016-04-01,m1_deposit_demand,268626.14405
2016-04-01,m2_deposit_fx,135169.94530300001
2016-04-01,m2_deposit_other,208747.22677699997
2016-04-01,m2_deposit_fixed,760760.170369
2016-04-01,m2_repo,0.0
2016-04-01,m2_nid,9181.422367000001
2016-04-01,m1_total,348627.82033975003
2016-04-01,m3_total,1611143.3856797498
2016-05-01,m1_total,356464.27645778004
2016-05-01,m3_total,1620291.89768178
2016-05-01,m2_repo,0.0
2016-05-01,m2_deposit_fixed,761597.4608779999
2016-05-01,m2_deposit_other,204356.350581
2016-05-01,m1_deposit_demand,276604.526996
2016-05-01,m3_deposit_other,11533.601419999963
2016-05-01,m2_deposit_fx,138861.226029
2016-05-01,m2_total,1608758.29626178
2016-05-01,m2_nid,8957.568981000002
2016-05-01,m2_deposit_saving,138521.413335
2016-05-01,m1_currency,79859.74946178001
2016-06-01,m1_total,363910.68328049005
2016-06-01,m3_deposit_other,10119.083103000186
2016-06-01,m2_deposit_fx,136067.51526
2016-06-01,m2_deposit_fixed,755876.223949
2016-06-01,m2_nid,7533.630254999998
2016-06-01,m3_total,1621162.4790724902
2016-06-01,m2_total,1611043.39596949
2016-06-01,m2_deposit_other,205488.37184499996
2016-06-01,m1_deposit_demand,280792.02068400005
2016-06-01,m1_currency,83118.66259649
2016-06-01,m2_deposit_saving,142166.97137999997
2016-06-01,m2_repo,0.0
2016-07-01,m1_deposit_demand,272707.21916800004
2016-07-01,m2_deposit_other,201445.212239
2016-07-01,m2_repo,0.0
2016-07-01,m1_currency,81543.70651863
2016-07-01,m3_deposit_other,9445.399376000278
2016-07-01,m2_deposit_fx,132361.53705900002
2016-07-01,m1_total,354250.9256866301
2016-07-01,m2_deposit_fixed,762432.8148459999
2016-07-01,m2_nid,7876.8313370000005
2016-07-01,m2_total,1598473.0772146299
2016-07-01,m2_deposit_saving,140105.75604700003
2016-07-01,m3_total,1607918.4765906301
2016-08-01,m2_repo,0.0
2016-08-01,m2_deposit_saving,140991.108456
2016-08-01,m2_deposit_other,203218.45202499998
2016-08-01,m3_total,1609689.42505733
2016-08-01,m2_nid,6703.478520999999
2016-08-01,m2_total,1600710.6652563298
2016-08-01,m1_total,354935.38282033
2016-08-01,m2_deposit_fx,128732.76544100003
2016-08-01,m1_deposit_demand,273745.86496399995
2016-08-01,m2_deposit_fixed,766129.4779930001
2016-08-01,m1_currency,81189.51785633
2016-08-01,m3_deposit_other,8978.759801000124
2016-09-01,m2_repo,0.0
2016-09-01,m3_total,1629047.9033549302
2016-09-01,m1_currency,82508.03517593
2016-09-01,m2_nid,7549.166483999999
2016-09-01,m1_total,358242.86637193
2016-09-01,m2_deposit_other,209520.643278
2016-09-01,m2_deposit_fixed,773441.4736930002
2016-09-01,m1_deposit_demand,275734.831196
2016-09-01,m2_deposit_fx,127750.643702
2016-09-01,m2_total,1620227.39195293
2016-09-01,m3_deposit_other,8820.511402000207
2016-09-01,m2_deposit_saving,143722.598424
2016-10-01,m2_deposit_fixed,765195.438364
2016-10-01,m3_deposit_other,9628.865445000352
2016-10-01,m2_total,1629123.2065428798
2016-10-01,m2_repo,0.0
2016-10-01,m1_total,360901.06870788
2016-10-01,m3_total,1638752.0719878802
2016-10-01,m2_deposit_other,216712.372785
2016-10-01,m1_currency,82605.35610088
2016-10-01,m2_deposit_fx,136027.640336
2016-10-01,m1_deposit_demand,278295.71260699996
2016-10-01,m2_deposit_saving,142724.75641799998
2016-10-01,m2_nid,7561.929932
2016-11-01,m2_nid,9269.999645000002
2016-11-01,m2_deposit_fixed,761072.0322430001
2016-11-01,m2_repo,0.0
2016-11-01,m2_deposit_saving,144270.73979199998
2016-11-01,m1_currency,82975.69337288999
2016-11-01,m1_deposit_demand,285338.076657
2016-11-01,m3_total,1643004.4181548902
2016-11-01,m2_total,1634216.72678089
2016-11-01,m2_deposit_other,213626.898059
2016-11-01,m1_total,368313.77002989
2016-11-01,m3_deposit_other,8787.691374000162
2016-11-01,m2_deposit_fx,137663.287012
2016-12-01,m2_nid,10515.366352
2016-12-01,m2_deposit_fixed,766319.2614
2016-12-01,m2_repo,0.0
2016-12-01,m3_deposit_other,7955.513171999948
2016-12-01,m1_total,380860.63263999997
2016-12-01,m2_deposit_saving,145128.765913
2016-12-01,m1_deposit_demand,295178.241451
2016-12-01,m1_currency,85682.391189
2016-12-01,m3_total,1655224.991408
2016-12-01,m2_deposit_other,205345.42279100002
2016-12-01,m2_deposit_fx,139100.02914
2016-12-01,m2_total,1647269.478236
2017-01-01,m1_total,387127.66383307
2017-01-01,m3_total,1670516.2235230699
2017-01-01,m2_deposit_other,211232.206261
2017-01-01,m2_repo,0.0
2017-01-01,m2_deposit_fixed,756206.313041
2017-01-01,m1_deposit_demand,294569.987336
2017-01-01,m3_deposit_other,8579.540938999737
2017-01-01,m2_deposit_fx,147776.860071
2017-01-01,m2_total,1661936.6825840701
2017-01-01,m2_nid,10380.956129
2017-01-01,m2_deposit_saving,149212.68324900002
2017-01-01,m1_currency,92557.67649707
2017-02-01,m1_total,387020.2214671
2017-02-01,m3_deposit_other,7189.988914999878
2017-02-01,m2_nid,9529.23373
2017-02-01,m2_deposit_other,219569.92648699996
2017-02-01,m2_total,1668004.6820091
2017-02-01,m3_total,1675194.6709240999
2017-02-01,m2_deposit_fixed,755486.5783170001
2017-02-01,m2_deposit_saving,150940.59949999998
2017-02-01,m2_deposit_fx,145458.12250799997
2017-02-01,m2_repo,0.0
2017-02-01,m1_deposit_demand,298504.02883100003
2017-02-01,m1_currency,88516.19263610001
2017-03-01,m2_deposit_fx,144472.75041900002
2017-03-01,m1_currency,88809.21889101
2017-03-01,m2_repo,0.0
2017-03-01,m2_deposit_other,221809.15972000003
2017-03-01,m1_deposit_demand,297997.232
2017-03-01,m2_total,1680740.38714001
2017-03-01,m2_deposit_saving,151903.484781
2017-03-01,m2_deposit_fixed,765676.810675
2017-03-01,m3_deposit_other,7560.718975999858
2017-03-01,m3_total,1688301.1061160099
2017-03-01,m2_nid,10071.730654
2017-03-01,m1_total,386806.45089101
2017-04-01,m2_repo,0.0
2017-04-01,m1_currency,89903.10342597999
2017-04-01,m2_deposit_fixed,774208.5135519999
2017-04-01,m1_deposit_demand,297128.42010900006
2017-04-01,m2_deposit_saving,150238.11863
2017-04-01,m3_total,1685054.63737598
2017-04-01,m3_deposit_other,7539.151854000287
2017-04-01,m2_total,1677515.4855219796
2017-04-01,m2_nid,9400.009268000002
2017-04-01,m2_deposit_other,210204.95644099996
2017-04-01,m2_deposit_fx,146432.36409599998
2017-04-01,m1_total,387031.52353498
2017-05-01,m2_total,1689273.6325305495
2017-05-01,m3_deposit_other,9582.592315000482
2017-05-01,m2_deposit_fixed,777678.8330229998
2017-05-01,m1_deposit_demand,302367.17084900005
2017-05-01,m2_deposit_fx,146201.052808
2017-05-01,m3_total,1698856.22484555
2017-05-01,m1_currency,88881.08657755001
