reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL19911249XZ,AEKNIL TABLETS,NON PRESCRIPTION,JKS ADMIRAL RESOURCES,THERAPEUTIC PHARM,2018-08-10,2023-08-10
MAL19986434ACZ,KLACID MR 500MG TABLET,NEW CHEMICAL ENTITY,ABBOTT LABORATORIES (M) SDN. BHD.,Aesica Queenborough Limited,2018-08-11,2023-08-11
MAL18086064NC,PureMed Caliron Capsule,HEALTH SUPPLEMENT,Pure Medisciences (M) Sdn Bhd,EXCEL HERBAL INDUSTRIES SDN. BHD.,2018-08-15,2023-08-15
MAL18086091TE,Tiens Uniqwomen Capsule,NATURAL PRODUCT,WHITE HERON PHARMACEUTICAL SDN. BHD.,WHITE HERON PHARMACEUTICAL SDN. BHD.,2018-08-15,2023-08-15
MAL20033931ARZ,IRESSA 250MG,NEW CHEMICAL ENTITY,ASTRAZENECA SDN. BHD.,ASTRAZENECA UK LIMITED,2018-08-25,2023-08-25
MAL20132307AEZ,CARBIMAZOLE TABLET 5MG,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-08-28,2023-08-28
MAL20033760TC,ESSENCE OF CORDYCEPS AND WILD RADIX GINSENG,NATURAL PRODUCT,GENERAL PRODUCT CO.,LEN FA MEDICAL SUPPLIES (M) SDN BHD,2018-08-28,2023-08-28
MAL20034110TC,SONG ZHI KANG,NATURAL PRODUCT,Gu Li Bao Trading Sdn. Bhd.,PRIME PHARMACEUTICAL SDN. BHD.,2018-08-28,2023-08-28
MAL20034111TC,GU ZHI LING,NATURAL PRODUCT,Gu Li Bao Trading Sdn. Bhd.,PRIME PHARMACEUTICAL SDN. BHD.,2018-08-28,2023-08-28
MAL08082525TC,Paraway Plus Capsule 506mg,NATURAL PRODUCT,UNICITY MARKETING SDN. BHD.,ADAM NUTRITION INC,2018-08-30,2023-08-30
MAL19987043XCR,VITAHEALTH SUPA GARLIC PLUS SOFTGEL,HEALTH SUPPLEMENT,VITAHEALTH MALAYSIA SDN. BHD.,CATALENT AUSTRALIA PTY LTD,2018-09-01,2023-09-01
MAL19870607AZ,Camnovate Cream 0.1%,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-09-05,2023-09-05
MAL19870013ARZ,NITRODERM TTS 10 (10MG/24HR),NEW CHEMICAL ENTITY,NOVARTIS CORPORATION (MALAYSIA) SDN. BHD.,NOVARTIS PHARMA STEIN AG,2018-09-05,2023-09-05
